Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
getLatestStatus,2001,0,100.1,5.29,0.13,2.87,95.9,getLatestStatus_report_100_20250324-213904.html,100
getLatestStatus,2001,0,100.1,5.76,0.34,3.02,95.7,getLatestStatus_report_100_20250324-234919.html,100
getLatestStatus,401,0,20.1,5.26,0.11,2.66,19.4,getLatestStatus_report_20_20250324-205129.html,20
getLatestStatus,801,0,40.1,5.48,0.2,2.8,38.8,getLatestStatus_report_40_20250325-000049.html,40
getLatestStatus,2398,0,119.9,5.57,0.3,3.09,96.9,getLatestStatus_report_120_20250325-000249.html,120
getLatestStatus,3977,0,198.8,5.91,1.22,3.56,162.0,getLatestStatus_report_200_20250325-011157.html,200
getLatestStatus,401,0,20.1,5.22,0.14,2.66,16.9,getLatestStatus_report_20_20250325-002502.html,20
getLatestStatus,1201,0,60.1,5.55,0.14,2.9,58.4,getLatestStatus_report_60_20250324-211024.html,60
getLatestStatus,1201,0,60.1,5.4,0.26,2.81,57.9,getLatestStatus_report_60_20250324-211254.html,60
getLatestStatus,3201,0,160.1,5.74,0.24,3.25,152.6,getLatestStatus_report_160_20250325-005415.html,160
getLatestStatus,801,0,40.1,5.21,0.11,2.72,39.0,getLatestStatus_report_40_20250324-231239.html,40
getLatestStatus,801,0,40.1,5.39,0.11,2.74,38.9,getLatestStatus_report_40_20250325-002548.html,40
getLatestStatus,801,0,40.1,5.21,0.13,2.69,38.7,getLatestStatus_report_40_20250324-210214.html,40
getLatestStatus,1601,0,80.1,5.25,0.38,2.83,65.4,getLatestStatus_report_80_20250324-212108.html,80
getLatestStatus,1201,0,60.1,5.29,0.19,2.76,58.1,getLatestStatus_report_60_20250324-213804.html,60
getLatestStatus,1601,0,80.1,5.59,0.39,2.93,77.5,getLatestStatus_report_80_20250324-234849.html,80
getLatestStatus,1601,0,80.1,5.32,0.12,2.83,77.7,getLatestStatus_report_80_20250324-212329.html,80
getLatestStatus,2801,0,140.1,5.82,0.61,3.26,130.4,getLatestStatus_report_140_20250325-003648.html,140
getLatestStatus,3601,0,180.1,5.81,1.05,3.43,144.4,getLatestStatus_report_180_20250325-005445.html,180
getLatestStatus,801,0,40.1,5.16,0.08,2.66,38.8,getLatestStatus_report_40_20250324-210014.html,40
getLatestStatus,1201,0,60.1,5.55,0.31,2.95,58.0,getLatestStatus_report_60_20250324-210954.html,60
getLatestStatus,401,0,20.1,5.39,0.15,2.82,18.0,getLatestStatus_report_20_20250324-213032.html,20
getLatestStatus,1201,0,60.1,5.37,0.3,2.8,52.7,getLatestStatus_report_60_20250324-231309.html,60
getLatestStatus,2801,0,140.1,5.42,0.21,3.05,127.4,getLatestStatus_report_140_20250325-011020.html,140
getLatestStatus,2001,0,100.1,5.79,0.33,3.05,95.8,getLatestStatus_report_100_20250324-233809.html,100
getLatestStatus,1601,0,80.2,5.51,0.26,2.95,66.5,getLatestStatus_report_80_20250325-001659.html,80
getLatestStatus,2001,0,100.1,5.54,0.3,3.01,96.7,getLatestStatus_report_100_20250325-000219.html,100
getLatestStatus,1201,0,60.1,5.36,0.2,2.84,57.9,getLatestStatus_report_60_20250324-211224.html,60
getLatestStatus,1601,0,80.1,5.69,0.18,2.95,76.9,getLatestStatus_report_80_20250324-212159.html,80
getLatestStatus,1201,0,60.1,5.54,0.27,2.8,52.1,getLatestStatus_report_60_20250324-233649.html,60
getLatestStatus,801,0,40.1,5.18,0.1,2.68,39.4,getLatestStatus_report_40_20250324-210144.html,40
getLatestStatus,2001,0,100.1,5.77,0.53,3.12,87.7,getLatestStatus_report_100_20250325-001734.html,100
getLatestStatus,401,0,20.1,5.55,0.12,2.73,18.5,getLatestStatus_report_20_20250324-233548.html,20
getLatestStatus,401,0,20.1,5.48,0.16,2.81,19.3,getLatestStatus_report_20_20250324-204959.html,20
getLatestStatus,3202,0,160.1,6.27,0.68,3.38,131.4,getLatestStatus_report_160_20250325-003733.html,160
getLatestStatus,3601,0,180.1,5.63,0.15,3.39,167.8,getLatestStatus_report_180_20250325-011126.html,180
getLatestStatus,2401,0,120.1,6.05,0.31,3.22,115.0,getLatestStatus_report_120_20250324-233839.html,120
getLatestStatus,401,0,20.1,5.35,0.12,2.74,17.2,getLatestStatus_report_20_20250324-232613.html,20
getLatestStatus,1201,0,60.1,5.46,0.27,2.8,58.3,getLatestStatus_report_60_20250324-211324.html,60
getLatestStatus,2401,0,120.1,5.48,0.08,3.06,115.6,getLatestStatus_report_120_20250325-002748.html,120
getLatestStatus,3201,0,160.1,6.0,0.35,3.35,150.9,getLatestStatus_report_160_20250325-004559.html,160
getLatestStatus,4001,0,200.1,6.35,0.17,3.56,185.4,getLatestStatus_report_200_20250325-004704.html,200
getLatestStatus,1201,0,60.1,5.43,0.13,2.85,57.8,getLatestStatus_report_60_20250325-002618.html,60
getLatestStatus,401,0,20.1,5.11,0.1,2.62,19.3,getLatestStatus_report_20_20250324-204809.html,20
