Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,1.205833333333333,0.5466666666666666,1.29,1.28,0.0,0.0,3.7,440.0,0.0,0.4297,0.0,reportStatus_report_120_20250324-231830.html,120
/node3,1.0616666666666668,0.6233333333333334,1.22,1.21,0.0,0.0,7.88,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-231830.html,120
/node1,1.08,0.6166666666666667,1.77,1.62,0.0,0.0,8.93,40.0,0.0,0.0391,0.0,reportStatus_report_120_20250324-231830.html,120
/node4,1.19,0.7116666666666666,1.27,1.17,0.0,0.0,3.48,4.0,0.0,0.0039,0.0,reportStatus_report_120_20250324-231830.html,120
/node5,1.3925,0.5975,1.26,1.17,0.0,0.0,7.79,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-231830.html,120
/node2,1.3858333333333333,0.7966666666666667,1.24,1.17,0.0,0.0,7.79,20.0,0.0,0.0195,0.0,reportStatus_report_120_20250324-231830.html,120
/node6,1.205833333333333,0.5466666666666666,1.29,1.28,0.0,0.0,3.7,440.0,0.0,0.4297,0.0,reportStatus_report_120_20250324-231830.html,120
/node3,1.0616666666666668,0.6233333333333334,1.22,1.21,0.0,0.0,7.88,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-231830.html,120
/node1,1.08,0.6166666666666667,1.77,1.62,0.0,0.0,8.93,40.0,0.0,0.0391,0.0,reportStatus_report_120_20250324-231830.html,120
/node4,1.19,0.7116666666666666,1.27,1.17,0.0,0.0,3.48,4.0,0.0,0.0039,0.0,reportStatus_report_120_20250324-231830.html,120
/node5,1.3925,0.5975,1.26,1.17,0.0,0.0,7.79,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-231830.html,120
/node2,1.3858333333333333,0.7966666666666667,1.24,1.17,0.0,0.0,7.79,20.0,0.0,0.0195,0.0,reportStatus_report_120_20250324-231830.html,120
/node6,1.350833333333333,0.5858333333333333,1.46,1.44,0.0,0.0,14.1,76.0,0.0,0.0742,0.0,reportStatus_report_120_20250324-235339.html,120
/node3,1.0008333333333332,0.3033333333333333,1.53,1.52,0.0,0.0,14.1,24.0,0.0,0.0234,0.0,reportStatus_report_120_20250324-235339.html,120
/node1,0.8358333333333333,0.4066666666666667,1.62,1.61,0.0,0.0,8.8,4.0,0.0,0.0039,0.0,reportStatus_report_120_20250324-235339.html,120
/node4,0.9516666666666668,0.2691666666666666,1.43,1.42,0.0,0.0,12.6,108.0,0.0,0.1055,0.0,reportStatus_report_120_20250324-235339.html,120
/node5,1.4458333333333335,0.4116666666666667,1.43,1.43,0.0,0.0,12.6,44.0,0.0,0.043,0.0,reportStatus_report_120_20250324-235339.html,120
/node2,1.6083333333333334,0.81,2.5,2.19,0.0,0.0,15.0,12.0,0.0,0.0117,0.0,reportStatus_report_120_20250324-235339.html,120
/node6,1.350833333333333,0.5858333333333333,1.46,1.44,0.0,0.0,14.1,76.0,0.0,0.0742,0.0,reportStatus_report_120_20250324-235339.html,120
/node3,1.0008333333333332,0.3033333333333333,1.53,1.52,0.0,0.0,14.1,24.0,0.0,0.0234,0.0,reportStatus_report_120_20250324-235339.html,120
/node1,0.8358333333333333,0.4066666666666667,1.62,1.61,0.0,0.0,8.8,4.0,0.0,0.0039,0.0,reportStatus_report_120_20250324-235339.html,120
/node4,0.9516666666666668,0.2691666666666666,1.43,1.42,0.0,0.0,12.6,108.0,0.0,0.1055,0.0,reportStatus_report_120_20250324-235339.html,120
/node5,1.4458333333333335,0.4116666666666667,1.43,1.43,0.0,0.0,12.6,44.0,0.0,0.043,0.0,reportStatus_report_120_20250324-235339.html,120
/node2,1.6083333333333334,0.81,2.5,2.19,0.0,0.0,15.0,12.0,0.0,0.0117,0.0,reportStatus_report_120_20250324-235339.html,120
/node6,1.055,0.3341666666666666,1.51,1.49,0.0,0.0,28.8,1.17,0.0,0.0011,0.0,reportStatus_report_120_20250325-000639.html,120
/node3,0.2066666666666666,0.135,1.6,1.59,0.0,0.0,9.43,0.0781,0.0,0.0001,0.0,reportStatus_report_120_20250325-000639.html,120
/node1,0.2766666666666666,0.1175,1.68,1.67,0.0,0.0,14.0,2.48,0.0,0.0024,0.0,reportStatus_report_120_20250325-000639.html,120
/node4,0.2091666666666666,0.1041666666666666,1.48,1.48,0.0,0.0,13.9,0.082,0.0,0.0001,0.0,reportStatus_report_120_20250325-000639.html,120
/node5,0.2158333333333333,0.105,1.48,1.48,0.0,0.0,14.4,0.355,0.0,0.0003,0.0,reportStatus_report_120_20250325-000639.html,120
/node2,0.6375000000000001,0.2725,2.75,2.73,0.0,0.0,9.39,2.33,0.0,0.0023,0.0,reportStatus_report_120_20250325-000639.html,120
/node6,1.055,0.3341666666666666,1.51,1.49,0.0,0.0,28.8,1.17,0.0,0.0011,0.0,reportStatus_report_120_20250325-000639.html,120
/node3,0.2066666666666666,0.135,1.6,1.59,0.0,0.0,9.43,0.0781,0.0,0.0001,0.0,reportStatus_report_120_20250325-000639.html,120
/node1,0.2766666666666666,0.1175,1.68,1.67,0.0,0.0,14.0,2.48,0.0,0.0024,0.0,reportStatus_report_120_20250325-000639.html,120
/node4,0.2091666666666666,0.1041666666666666,1.48,1.48,0.0,0.0,13.9,0.082,0.0,0.0001,0.0,reportStatus_report_120_20250325-000639.html,120
/node5,0.2158333333333333,0.105,1.48,1.48,0.0,0.0,14.4,0.355,0.0,0.0003,0.0,reportStatus_report_120_20250325-000639.html,120
/node2,0.6375000000000001,0.2725,2.75,2.73,0.0,0.0,9.39,2.33,0.0,0.0023,0.0,reportStatus_report_120_20250325-000639.html,120
/node6,0.7991666666666667,0.2125,1.56,1.56,0.0,0.0,22.9,0.0,0.0,0.0,0.0,reportStatus_report_120_20250325-003128.html,120
/node3,0.9141666666666668,0.2558333333333333,1.67,1.66,0.0,0.0,33.6,368.0,0.0,0.3594,0.0,reportStatus_report_120_20250325-003128.html,120
/node1,0.2333333333333333,0.1058333333333333,2.86,2.86,0.0,0.0,33.7,112.0,0.0,0.1094,0.0,reportStatus_report_120_20250325-003128.html,120
/node4,0.2233333333333333,0.1041666666666666,1.54,1.53,0.0,0.0,34.3,368.0,0.0,0.3594,0.0,reportStatus_report_120_20250325-003128.html,120
/node5,0.2308333333333333,0.1025,1.54,1.54,0.0,0.0,34.3,416.0,0.0,0.4062,0.0,reportStatus_report_120_20250325-003128.html,120
/node2,1.0083333333333333,0.515,2.83,2.82,0.0,0.0,34.8,360.0,0.0,0.3516,0.0,reportStatus_report_120_20250325-003128.html,120
/node6,0.7991666666666667,0.2125,1.56,1.56,0.0,0.0,22.9,0.0,0.0,0.0,0.0,reportStatus_report_120_20250325-003128.html,120
/node3,0.9141666666666668,0.2558333333333333,1.67,1.66,0.0,0.0,33.6,368.0,0.0,0.3594,0.0,reportStatus_report_120_20250325-003128.html,120
/node1,0.2333333333333333,0.1058333333333333,2.86,2.86,0.0,0.0,33.7,112.0,0.0,0.1094,0.0,reportStatus_report_120_20250325-003128.html,120
/node4,0.2233333333333333,0.1041666666666666,1.54,1.53,0.0,0.0,34.3,368.0,0.0,0.3594,0.0,reportStatus_report_120_20250325-003128.html,120
/node5,0.2308333333333333,0.1025,1.54,1.54,0.0,0.0,34.3,416.0,0.0,0.4062,0.0,reportStatus_report_120_20250325-003128.html,120
/node2,1.0083333333333333,0.515,2.83,2.82,0.0,0.0,34.8,360.0,0.0,0.3516,0.0,reportStatus_report_120_20250325-003128.html,120
/node6,0.2808333333333333,0.1366666666666666,1.24,1.15,0.0,0.0,18.9,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-214315.html,120
/node3,0.8091666666666667,0.2325,1.03,1.03,0.0,0.0,35.9,1.57,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node1,0.4983333333333333,0.2891666666666667,2.31,2.31,0.0,0.0,42.4,2.4,0.0,0.0023,0.0,reportStatus_report_120_20250324-214315.html,120
/node4,0.7833333333333333,0.27,1.03,0.956,0.0,0.0,30.9,1.56,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node5,0.2825,0.1416666666666666,0.962,0.912,0.0,0.0,31.2,1.57,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node2,0.3133333333333333,0.1575,1.06,1.01,0.0,0.0,30.0,1.55,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node6,0.2808333333333333,0.1366666666666666,1.24,1.15,0.0,0.0,18.9,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-214315.html,120
/node3,0.8091666666666667,0.2325,1.03,1.03,0.0,0.0,35.9,1.57,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node1,0.4983333333333333,0.2891666666666667,2.31,2.31,0.0,0.0,42.4,2.4,0.0,0.0023,0.0,reportStatus_report_120_20250324-214315.html,120
/node4,0.7833333333333333,0.27,1.03,0.956,0.0,0.0,30.9,1.56,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node5,0.2825,0.1416666666666666,0.962,0.912,0.0,0.0,31.2,1.57,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node2,0.3133333333333333,0.1575,1.06,1.01,0.0,0.0,30.0,1.55,0.0,0.0015,0.0,reportStatus_report_120_20250324-214315.html,120
/node6,0.9516666666666668,0.3433333333333333,1.39,1.38,0.0,0.0,6.64,0.0,0.0,0.0,0.0,reportStatus_report_120_20250324-234204.html,120
