Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.1825,0.085,1.41,1.41,0.0,0.0,5.15,20.0,0.0,0.0195,0.0,reportStatus_report_60_20250324-235134.html,60
/node3,0.155,0.0858333333333333,1.49,1.48,0.0,0.0,0.395,12.0,0.0,0.0117,0.0,reportStatus_report_60_20250324-235134.html,60
/node1,0.2641666666666666,0.1183333333333333,1.58,1.58,0.0,0.0,8.13,104.0,0.0,0.1016,0.0,reportStatus_report_60_20250324-235134.html,60
/node4,0.1591666666666666,0.0758333333333333,1.39,1.38,0.0,0.0,5.28,16.0,0.0,0.0156,0.0,reportStatus_report_60_20250324-235134.html,60
/node5,0.1674999999999999,0.0816666666666666,1.39,1.39,0.0,0.0,7.55,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-235134.html,60
/node2,0.25,0.1166666666666666,2.47,2.46,0.0,0.0,8.11,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-235134.html,60
/node6,0.1825,0.085,1.41,1.41,0.0,0.0,5.15,20.0,0.0,0.0195,0.0,reportStatus_report_60_20250324-235134.html,60
/node3,0.155,0.0858333333333333,1.49,1.48,0.0,0.0,0.395,12.0,0.0,0.0117,0.0,reportStatus_report_60_20250324-235134.html,60
/node1,0.2641666666666666,0.1183333333333333,1.58,1.58,0.0,0.0,8.13,104.0,0.0,0.1016,0.0,reportStatus_report_60_20250324-235134.html,60
/node4,0.1591666666666666,0.0758333333333333,1.39,1.38,0.0,0.0,5.28,16.0,0.0,0.0156,0.0,reportStatus_report_60_20250324-235134.html,60
/node5,0.1674999999999999,0.0816666666666666,1.39,1.39,0.0,0.0,7.55,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-235134.html,60
/node2,0.25,0.1166666666666666,2.47,2.46,0.0,0.0,8.11,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-235134.html,60
/node6,0.1533333333333333,0.0741666666666666,1.54,1.53,0.0,0.0,3.56,0.344,0.0,0.0003,0.0,reportStatus_report_60_20250325-002928.html,60
/node3,0.1291666666666666,0.065,1.62,1.62,0.0,0.0,6.02,0.0234,0.0,0.0,0.0,reportStatus_report_60_20250325-002928.html,60
/node1,0.1399999999999999,0.0741666666666666,2.82,2.81,0.0,0.0,3.93,2.4,0.0,0.0023,0.0,reportStatus_report_60_20250325-002928.html,60
/node4,0.1316666666666666,0.0683333333333333,1.49,1.49,0.0,0.0,5.27,0.0234,0.0,0.0,0.0,reportStatus_report_60_20250325-002928.html,60
/node5,0.13,0.0641666666666666,1.5,1.49,0.0,0.0,5.38,0.082,0.0,0.0001,0.0,reportStatus_report_60_20250325-002928.html,60
/node2,0.2008333333333333,0.0983333333333333,2.78,2.78,0.0,0.0,5.49,2.79,0.0,0.0027,0.0,reportStatus_report_60_20250325-002928.html,60
/node6,0.1533333333333333,0.0741666666666666,1.54,1.53,0.0,0.0,3.56,0.344,0.0,0.0003,0.0,reportStatus_report_60_20250325-002928.html,60
/node3,0.1291666666666666,0.065,1.62,1.62,0.0,0.0,6.02,0.0234,0.0,0.0,0.0,reportStatus_report_60_20250325-002928.html,60
/node1,0.1399999999999999,0.0741666666666666,2.82,2.81,0.0,0.0,3.93,2.4,0.0,0.0023,0.0,reportStatus_report_60_20250325-002928.html,60
/node4,0.1316666666666666,0.0683333333333333,1.49,1.49,0.0,0.0,5.27,0.0234,0.0,0.0,0.0,reportStatus_report_60_20250325-002928.html,60
/node5,0.13,0.0641666666666666,1.5,1.49,0.0,0.0,5.38,0.082,0.0,0.0001,0.0,reportStatus_report_60_20250325-002928.html,60
/node2,0.2008333333333333,0.0983333333333333,2.78,2.78,0.0,0.0,5.49,2.79,0.0,0.0027,0.0,reportStatus_report_60_20250325-002928.html,60
/node6,0.1275,0.0725,1.07,1.07,0.0,0.0,6.36,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node3,0.1566666666666666,0.0833333333333333,0.801,0.8,0.0,0.0,4.65,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node1,0.2275,0.1166666666666666,2.29,2.29,0.0,0.0,6.45,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node4,0.1575,0.0816666666666666,0.816,0.812,0.0,0.0,6.37,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node5,0.1616666666666666,0.085,0.792,0.783,0.0,0.0,4.66,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node2,0.1533333333333333,0.0833333333333333,0.81,0.806,0.0,0.0,6.37,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node6,0.1275,0.0725,1.07,1.07,0.0,0.0,6.36,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node3,0.1566666666666666,0.0833333333333333,0.801,0.8,0.0,0.0,4.65,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node1,0.2275,0.1166666666666666,2.29,2.29,0.0,0.0,6.45,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node4,0.1575,0.0816666666666666,0.816,0.812,0.0,0.0,6.37,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node5,0.1616666666666666,0.085,0.792,0.783,0.0,0.0,4.66,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node2,0.1533333333333333,0.0833333333333333,0.81,0.806,0.0,0.0,6.37,0.0,0.0,0.0,0.0,reportStatus_report_60_20250324-214114.html,60
/node6,0.1316666666666666,0.0775,1.46,1.46,0.0,0.0,7.14,652.0,0.0,0.6367,1e-06,reportStatus_report_60_20250325-000434.html,60
/node3,0.1516666666666666,0.0716666666666666,1.56,1.56,0.0,0.0,5.13,200.0,0.0,0.1953,0.0,reportStatus_report_60_20250325-000434.html,60
/node1,0.2183333333333333,0.1108333333333333,1.66,1.66,0.0,0.0,7.89,68.0,0.0,0.0664,0.0,reportStatus_report_60_20250325-000434.html,60
/node4,0.1491666666666666,0.0941666666666666,1.46,1.46,0.0,0.0,5.93,56.0,0.0,0.0547,0.0,reportStatus_report_60_20250325-000434.html,60
/node5,0.1591666666666666,0.0825,1.47,1.47,0.0,0.0,0.402,60.0,0.0,0.0586,0.0,reportStatus_report_60_20250325-000434.html,60
/node2,0.2308333333333333,0.135,1.7,1.7,0.0,0.0,3.93,72.0,0.0,0.0703,0.0,reportStatus_report_60_20250325-000434.html,60
/node6,0.1316666666666666,0.0775,1.46,1.46,0.0,0.0,7.14,652.0,0.0,0.6367,1e-06,reportStatus_report_60_20250325-000434.html,60
/node3,0.1516666666666666,0.0716666666666666,1.56,1.56,0.0,0.0,5.13,200.0,0.0,0.1953,0.0,reportStatus_report_60_20250325-000434.html,60
/node1,0.2183333333333333,0.1108333333333333,1.66,1.66,0.0,0.0,7.89,68.0,0.0,0.0664,0.0,reportStatus_report_60_20250325-000434.html,60
/node4,0.1491666666666666,0.0941666666666666,1.46,1.46,0.0,0.0,5.93,56.0,0.0,0.0547,0.0,reportStatus_report_60_20250325-000434.html,60
/node5,0.1591666666666666,0.0825,1.47,1.47,0.0,0.0,0.402,60.0,0.0,0.0586,0.0,reportStatus_report_60_20250325-000434.html,60
