Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,1.2891666666666668,0.5533333333333333,1.75,1.75,0.0,0.0,44.6,5.61,0.0,0.0055,0.0,reportStatus_report_200_20250325-004953.html,200
/node3,1.1075,0.5783333333333334,1.88,1.86,0.0,0.0,28.5,0.645,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node1,1.1658333333333333,0.5925,2.57,2.52,0.0,0.0,16.1,2.12,0.0,0.0021,0.0,reportStatus_report_200_20250325-004953.html,200
/node4,0.9433333333333334,0.58,1.95,1.93,0.0,0.0,16.3,0.652,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node5,1.57,0.7558333333333334,1.88,1.87,0.0,0.0,17.0,1.48,0.0,0.0014,0.0,reportStatus_report_200_20250325-004953.html,200
/node2,1.5708333333333335,0.8566666666666666,3.88,3.84,0.0,0.0,18.1,2.68,0.0,0.0026,0.0,reportStatus_report_200_20250325-004953.html,200
/node6,1.2891666666666668,0.5533333333333333,1.75,1.75,0.0,0.0,44.6,5.61,0.0,0.0055,0.0,reportStatus_report_200_20250325-004953.html,200
/node3,1.1075,0.5783333333333334,1.88,1.86,0.0,0.0,28.5,0.645,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node1,1.1658333333333333,0.5925,2.57,2.52,0.0,0.0,16.1,2.12,0.0,0.0021,0.0,reportStatus_report_200_20250325-004953.html,200
/node4,0.9433333333333334,0.58,1.95,1.93,0.0,0.0,16.3,0.652,0.0,0.0006,0.0,reportStatus_report_200_20250325-004953.html,200
/node5,1.57,0.7558333333333334,1.88,1.87,0.0,0.0,17.0,1.48,0.0,0.0014,0.0,reportStatus_report_200_20250325-004953.html,200
/node2,1.5708333333333335,0.8566666666666666,3.88,3.84,0.0,0.0,18.1,2.68,0.0,0.0026,0.0,reportStatus_report_200_20250325-004953.html,200
/node6,1.1041666666666667,0.6375000000000001,1.72,1.69,0.0,0.0,49.2,21.1,0.0,0.0206,0.0,reportStatus_report_200_20250325-004124.html,200
/node3,1.53,0.6708333333333334,1.84,1.83,0.0,0.0,53.8,4.28,0.0001,0.0042,0.0,reportStatus_report_200_20250325-004124.html,200
/node1,1.1583333333333334,0.6266666666666666,2.9,2.87,0.0,0.0,53.7,3.14,0.0001,0.0031,0.0,reportStatus_report_200_20250325-004124.html,200
/node4,1.3166666666666669,0.7283333333333334,1.73,1.62,0.0,0.0,54.1,6.23,0.0001,0.0061,0.0,reportStatus_report_200_20250325-004124.html,200
/node5,1.3724999999999998,0.7733333333333333,1.85,1.82,0.0,0.0,53.8,8.07,0.0001,0.0079,0.0,reportStatus_report_200_20250325-004124.html,200
/node2,1.8825,1.028333333333333,3.76,3.73,0.0,0.0,56.0,18.7,0.0001,0.0183,0.0,reportStatus_report_200_20250325-004124.html,200
/node6,1.1041666666666667,0.6375000000000001,1.72,1.69,0.0,0.0,49.2,21.1,0.0,0.0206,0.0,reportStatus_report_200_20250325-004124.html,200
/node3,1.53,0.6708333333333334,1.84,1.83,0.0,0.0,53.8,4.28,0.0001,0.0042,0.0,reportStatus_report_200_20250325-004124.html,200
/node1,1.1583333333333334,0.6266666666666666,2.9,2.87,0.0,0.0,53.7,3.14,0.0001,0.0031,0.0,reportStatus_report_200_20250325-004124.html,200
/node4,1.3166666666666669,0.7283333333333334,1.73,1.62,0.0,0.0,54.1,6.23,0.0001,0.0061,0.0,reportStatus_report_200_20250325-004124.html,200
/node5,1.3724999999999998,0.7733333333333333,1.85,1.82,0.0,0.0,53.8,8.07,0.0001,0.0079,0.0,reportStatus_report_200_20250325-004124.html,200
/node2,1.8825,1.028333333333333,3.76,3.73,0.0,0.0,56.0,18.7,0.0001,0.0183,0.0,reportStatus_report_200_20250325-004124.html,200
/node6,1.0708333333333333,0.5650000000000001,1.81,1.8,0.0,0.0,55.1,0.238,0.0001,0.0002,0.0,reportStatus_report_200_20250325-005749.html,200
/node3,1.4791666666666667,0.6141666666666666,1.92,1.91,0.0,0.0,46.2,7.76,0.0,0.0076,0.0,reportStatus_report_200_20250325-005749.html,200
/node1,1.14,0.605,2.14,2.12,0.0,0.0,37.1,1.85,0.0,0.0018,0.0,reportStatus_report_200_20250325-005749.html,200
/node4,0.9483333333333334,0.535,1.89,1.89,0.0,0.0,43.2,0.863,0.0,0.0008,0.0,reportStatus_report_200_20250325-005749.html,200
/node5,1.43,0.5725,1.88,1.88,0.0,0.0,39.4,0.0547,0.0,0.0001,0.0,reportStatus_report_200_20250325-005749.html,200
/node2,1.6558333333333335,0.8241666666666667,4.21,3.56,0.0,0.0,52.9,3.27,0.0001,0.0032,0.0,reportStatus_report_200_20250325-005749.html,200
/node6,1.0708333333333333,0.5650000000000001,1.81,1.8,0.0,0.0,55.1,0.238,0.0001,0.0002,0.0,reportStatus_report_200_20250325-005749.html,200
/node3,1.4791666666666667,0.6141666666666666,1.92,1.91,0.0,0.0,46.2,7.76,0.0,0.0076,0.0,reportStatus_report_200_20250325-005749.html,200
/node1,1.14,0.605,2.14,2.12,0.0,0.0,37.1,1.85,0.0,0.0018,0.0,reportStatus_report_200_20250325-005749.html,200
