Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.0991666666666666,0.0641666666666666,1.31,1.31,0.0,0.0,3.55,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node3,0.1041666666666666,0.0616666666666666,1.24,1.23,0.0,0.0,3.92,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node1,0.1075,0.0566666666666666,1.48,1.47,0.0,0.0,6.45,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node4,0.11,0.0608333333333333,1.28,1.28,0.0,0.0,4.9,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node5,0.1075,0.0633333333333333,1.28,1.28,0.0,0.0,1.01,4.0,0.0,0.0039,0.0,reportStatus_report_40_20250324-233944.html,40
/node2,0.1783333333333333,0.0916666666666666,1.52,1.52,0.0,0.0,2.87,8.0,0.0,0.0078,0.0,reportStatus_report_40_20250324-233944.html,40
/node6,0.0991666666666666,0.0641666666666666,1.31,1.31,0.0,0.0,3.55,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node3,0.1041666666666666,0.0616666666666666,1.24,1.23,0.0,0.0,3.92,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node1,0.1075,0.0566666666666666,1.48,1.47,0.0,0.0,6.45,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node4,0.11,0.0608333333333333,1.28,1.28,0.0,0.0,4.9,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-233944.html,40
/node5,0.1075,0.0633333333333333,1.28,1.28,0.0,0.0,1.01,4.0,0.0,0.0039,0.0,reportStatus_report_40_20250324-233944.html,40
/node2,0.1783333333333333,0.0916666666666666,1.52,1.52,0.0,0.0,2.87,8.0,0.0,0.0078,0.0,reportStatus_report_40_20250324-233944.html,40
/node6,0.0916666666666666,0.0574999999999999,1.53,1.52,0.0,0.0,3.87,0.969,0.0,0.0009,0.0,reportStatus_report_40_20250325-002853.html,40
/node3,0.0925,0.0516666666666666,1.61,1.61,0.0,0.0,3.81,0.0156,0.0,0.0,0.0,reportStatus_report_40_20250325-002853.html,40
/node1,0.1025,0.0525,2.81,2.8,0.0,0.0,5.26,3.88,0.0,0.0038,0.0,reportStatus_report_40_20250325-002853.html,40
/node4,0.0949999999999999,0.0516666666666666,1.48,1.48,0.0,0.0,6.62,0.043,0.0,0.0,0.0,reportStatus_report_40_20250325-002853.html,40
/node5,0.0916666666666666,0.0499999999999999,1.49,1.48,0.0,0.0,6.86,0.0781,0.0,0.0001,0.0,reportStatus_report_40_20250325-002853.html,40
/node2,0.1516666666666666,0.0716666666666666,2.77,2.77,0.0,0.0,5.12,3.9,0.0,0.0038,0.0,reportStatus_report_40_20250325-002853.html,40
/node6,0.0916666666666666,0.0574999999999999,1.53,1.52,0.0,0.0,3.87,0.969,0.0,0.0009,0.0,reportStatus_report_40_20250325-002853.html,40
/node3,0.0925,0.0516666666666666,1.61,1.61,0.0,0.0,3.81,0.0156,0.0,0.0,0.0,reportStatus_report_40_20250325-002853.html,40
/node1,0.1025,0.0525,2.81,2.8,0.0,0.0,5.26,3.88,0.0,0.0038,0.0,reportStatus_report_40_20250325-002853.html,40
/node4,0.0949999999999999,0.0516666666666666,1.48,1.48,0.0,0.0,6.62,0.043,0.0,0.0,0.0,reportStatus_report_40_20250325-002853.html,40
/node5,0.0916666666666666,0.0499999999999999,1.49,1.48,0.0,0.0,6.86,0.0781,0.0,0.0001,0.0,reportStatus_report_40_20250325-002853.html,40
/node2,0.1516666666666666,0.0716666666666666,2.77,2.77,0.0,0.0,5.12,3.9,0.0,0.0038,0.0,reportStatus_report_40_20250325-002853.html,40
/node6,0.0983333333333333,0.0616666666666666,1.4,1.4,0.0,0.0,3.77,4.0,0.0,0.0039,0.0,reportStatus_report_40_20250324-235059.html,40
/node3,0.0966666666666666,0.055,1.48,1.47,0.0,0.0,0.0,16.0,0.0,0.0156,0.0,reportStatus_report_40_20250324-235059.html,40
/node1,0.1083333333333333,0.0566666666666666,1.57,1.57,0.0,0.0,3.84,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-235059.html,40
/node4,0.0966666666666666,0.0525,1.38,1.37,0.0,0.0,2.49,40.0,0.0,0.0391,0.0,reportStatus_report_40_20250324-235059.html,40
/node5,0.1233333333333333,0.0633333333333333,1.38,1.38,0.0,0.0,5.1,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-235059.html,40
/node2,0.2625,0.1241666666666666,2.46,2.45,0.0,0.0,0.559,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-235059.html,40
/node6,0.0983333333333333,0.0616666666666666,1.4,1.4,0.0,0.0,3.77,4.0,0.0,0.0039,0.0,reportStatus_report_40_20250324-235059.html,40
/node3,0.0966666666666666,0.055,1.48,1.47,0.0,0.0,0.0,16.0,0.0,0.0156,0.0,reportStatus_report_40_20250324-235059.html,40
/node1,0.1083333333333333,0.0566666666666666,1.57,1.57,0.0,0.0,3.84,0.0,0.0,0.0,0.0,reportStatus_report_40_20250324-235059.html,40
