Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node6,0.3116666666666667,0.1516666666666666,1.97,1.97,0.0,0.0,2.03,36.0,0.0,0.0352,0.0,statusReports_report_160_20250325-011618.html,160
/node3,0.2791666666666667,0.1533333333333333,1.97,1.97,0.0,0.0,2.03,20.0,0.0,0.0195,0.0,statusReports_report_160_20250325-011618.html,160
/node1,0.3033333333333333,0.1666666666666666,2.09,2.09,0.0,0.0,1.89,196.0,0.0,0.1914,0.0,statusReports_report_160_20250325-011618.html,160
/node4,0.2816666666666667,0.1441666666666666,1.88,1.88,0.0,0.0,2.03,156.0,0.0,0.1523,0.0,statusReports_report_160_20250325-011618.html,160
/node5,0.4458333333333333,0.1725,1.89,1.89,0.0,0.0,2.02,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-011618.html,160
/node2,0.4833333333333333,0.2441666666666666,3.95,3.95,0.0,0.0,2.95,48.0,0.0,0.0469,0.0,statusReports_report_160_20250325-011618.html,160
/node6,0.3116666666666667,0.1516666666666666,1.97,1.97,0.0,0.0,2.03,36.0,0.0,0.0352,0.0,statusReports_report_160_20250325-011618.html,160
/node3,0.2791666666666667,0.1533333333333333,1.97,1.97,0.0,0.0,2.03,20.0,0.0,0.0195,0.0,statusReports_report_160_20250325-011618.html,160
/node1,0.3033333333333333,0.1666666666666666,2.09,2.09,0.0,0.0,1.89,196.0,0.0,0.1914,0.0,statusReports_report_160_20250325-011618.html,160
/node4,0.2816666666666667,0.1441666666666666,1.88,1.88,0.0,0.0,2.03,156.0,0.0,0.1523,0.0,statusReports_report_160_20250325-011618.html,160
/node5,0.4458333333333333,0.1725,1.89,1.89,0.0,0.0,2.02,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-011618.html,160
/node2,0.4833333333333333,0.2441666666666666,3.95,3.95,0.0,0.0,2.95,48.0,0.0,0.0469,0.0,statusReports_report_160_20250325-011618.html,160
/node6,0.3291666666666666,0.1708333333333333,1.8,1.8,0.0,0.0,1.82,0.00781,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node3,0.2741666666666666,0.1491666666666666,1.92,1.92,0.0,0.0,1.98,1.54,0.0,0.0015,0.0,statusReports_report_160_20250325-005932.html,160
/node1,0.465,0.2025,2.15,2.15,0.0,0.0,0.383,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node4,0.2791666666666667,0.1383333333333333,1.88,1.88,0.0,0.0,2.17,0.0156,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node5,0.6583333333333333,0.21,1.89,1.89,0.0,0.0,2.04,0.00781,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node2,0.5558333333333333,0.2625,4.14,4.13,0.0,0.0,1.2,0.156,0.0,0.0002,0.0,statusReports_report_160_20250325-005932.html,160
/node6,0.3291666666666666,0.1708333333333333,1.8,1.8,0.0,0.0,1.82,0.00781,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node3,0.2741666666666666,0.1491666666666666,1.92,1.92,0.0,0.0,1.98,1.54,0.0,0.0015,0.0,statusReports_report_160_20250325-005932.html,160
/node1,0.465,0.2025,2.15,2.15,0.0,0.0,0.383,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node4,0.2791666666666667,0.1383333333333333,1.88,1.88,0.0,0.0,2.17,0.0156,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node5,0.6583333333333333,0.21,1.89,1.89,0.0,0.0,2.04,0.00781,0.0,0.0,0.0,statusReports_report_160_20250325-005932.html,160
/node2,0.5558333333333333,0.2625,4.14,4.13,0.0,0.0,1.2,0.156,0.0,0.0002,0.0,statusReports_report_160_20250325-005932.html,160
/node6,0.2941666666666666,0.1541666666666666,1.97,1.97,0.0,0.0,2.07,32.0,0.0,0.0312,0.0,statusReports_report_160_20250325-010756.html,160
/node3,0.2808333333333333,0.1483333333333333,1.93,1.93,0.0,0.0,2.12,8.0,0.0,0.0078,0.0,statusReports_report_160_20250325-010756.html,160
/node1,0.3258333333333333,0.16,2.03,2.02,0.0,0.0,2.06,16.0,0.0,0.0156,0.0,statusReports_report_160_20250325-010756.html,160
/node4,0.4916666666666667,0.1891666666666666,1.83,1.83,0.0,0.0,1.93,12.0,0.0,0.0117,0.0,statusReports_report_160_20250325-010756.html,160
/node5,0.2958333333333333,0.1458333333333333,1.88,1.88,0.0,0.0,1.96,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-010756.html,160
/node2,0.4958333333333333,0.255,4.19,4.19,0.0,0.0,3.19,20.0,0.0,0.0195,0.0,statusReports_report_160_20250325-010756.html,160
/node6,0.2941666666666666,0.1541666666666666,1.97,1.97,0.0,0.0,2.07,32.0,0.0,0.0312,0.0,statusReports_report_160_20250325-010756.html,160
/node3,0.2808333333333333,0.1483333333333333,1.93,1.93,0.0,0.0,2.12,8.0,0.0,0.0078,0.0,statusReports_report_160_20250325-010756.html,160
/node1,0.3258333333333333,0.16,2.03,2.02,0.0,0.0,2.06,16.0,0.0,0.0156,0.0,statusReports_report_160_20250325-010756.html,160
/node4,0.4916666666666667,0.1891666666666666,1.83,1.83,0.0,0.0,1.93,12.0,0.0,0.0117,0.0,statusReports_report_160_20250325-010756.html,160
/node5,0.2958333333333333,0.1458333333333333,1.88,1.88,0.0,0.0,1.96,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-010756.html,160
/node2,0.4958333333333333,0.255,4.19,4.19,0.0,0.0,3.19,20.0,0.0,0.0195,0.0,statusReports_report_160_20250325-010756.html,160
/node6,0.2941666666666666,0.1558333333333333,1.75,1.75,0.0,0.0,1.83,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-005115.html,160
/node3,0.2841666666666667,0.1458333333333333,1.88,1.88,0.0,0.0,1.36,0.879,0.0,0.0009,0.0,statusReports_report_160_20250325-005115.html,160
/node1,0.5591666666666667,0.1949999999999999,2.43,2.38,0.0,0.0,1.37,0.0625,0.0,0.0001,0.0,statusReports_report_160_20250325-005115.html,160
/node4,0.3033333333333333,0.1508333333333333,1.89,1.89,0.0,0.0,0.043,0.91,0.0,0.0009,0.0,statusReports_report_160_20250325-005115.html,160
/node5,0.2875,0.1475,1.89,1.88,0.0,0.0,1.8,0.461,0.0,0.0005,0.0,statusReports_report_160_20250325-005115.html,160
/node2,0.5516666666666666,0.2658333333333333,3.83,3.81,0.0,0.0,2.14,1.31,0.0,0.0013,0.0,statusReports_report_160_20250325-005115.html,160
/node6,0.2941666666666666,0.1558333333333333,1.75,1.75,0.0,0.0,1.83,0.0,0.0,0.0,0.0,statusReports_report_160_20250325-005115.html,160
/node3,0.2841666666666667,0.1458333333333333,1.88,1.88,0.0,0.0,1.36,0.879,0.0,0.0009,0.0,statusReports_report_160_20250325-005115.html,160
/node1,0.5591666666666667,0.1949999999999999,2.43,2.38,0.0,0.0,1.37,0.0625,0.0,0.0001,0.0,statusReports_report_160_20250325-005115.html,160
/node4,0.3033333333333333,0.1508333333333333,1.89,1.89,0.0,0.0,0.043,0.91,0.0,0.0009,0.0,statusReports_report_160_20250325-005115.html,160
/node5,0.2875,0.1475,1.89,1.88,0.0,0.0,1.8,0.461,0.0,0.0005,0.0,statusReports_report_160_20250325-005115.html,160
/node2,0.5516666666666666,0.2658333333333333,3.83,3.81,0.0,0.0,2.14,1.31,0.0,0.0013,0.0,statusReports_report_160_20250325-005115.html,160
/node6,0.3133333333333333,0.1525,1.72,1.72,0.0,0.0,1.88,0.523,0.0,0.0005,0.0,statusReports_report_160_20250325-004334.html,160
/node3,0.2908333333333333,0.1408333333333333,1.84,1.84,0.0,0.0,1.44,0.0664,0.0,0.0001,0.0,statusReports_report_160_20250325-004334.html,160
/node1,0.3908333333333333,0.1608333333333333,2.9,2.9,0.0,0.0,1.54,0.0703,0.0,0.0001,0.0,statusReports_report_160_20250325-004334.html,160
